"","track_id","track_artist","track_name","popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","explicit","track_length","duration_min","mode_fct","key_fct","genre"
"4961","0SZVevBzneBEEkLH2jCeFQ","Prismo Eclectic","Sound of Sorrow","0",0.532,0.0801,11,-22.886,1,0.0302,0.0296,0.921,0.0804,0.308,140.061,175308,FALSE,2M 55.308S,2M 55S,"Major","B","uncategorised"
"4962","6QzsAYzLLfUKELTYZfhBFM","Mr. Pookie","Southern Made Playa - Chopped and Screwed","0",0.81,0.289,1,-12.725,1,0.112,0.166,0.0217,0.129,0.295,118.096,337757,TRUE,5M 37.757S,5M 38S,"Major","C#/Db","deep southern trap"
"4963","6QzsAYzLLfUKELTYZfhBFM","Mr. Pookie","Southern Made Playa - Chopped and Screwed","0",0.81,0.289,1,-12.725,1,0.112,0.166,0.0217,0.129,0.295,118.096,337757,TRUE,5M 37.757S,5M 38S,"Major","C#/Db"," dfw rap"
"4964","6QzsAYzLLfUKELTYZfhBFM","Mr. Pookie","Southern Made Playa - Chopped and Screwed","0",0.81,0.289,1,-12.725,1,0.112,0.166,0.0217,0.129,0.295,118.096,337757,TRUE,5M 37.757S,5M 38S,"Major","C#/Db"," dirty south rap"
"4965","6QzsAYzLLfUKELTYZfhBFM","Mr. Pookie","Southern Made Playa - Chopped and Screwed","0",0.81,0.289,1,-12.725,1,0.112,0.166,0.0217,0.129,0.295,118.096,337757,TRUE,5M 37.757S,5M 38S,"Major","C#/Db"," dirty texas rap"
"4966","0CZTeJVJvvFzZUXbw72v8T","Ocean Waves For Sleep","Southern Tide","0",0.263,0.354,0,-23.004,1,0.0542,0.728,0.454,0.801,0.0394,118.418,356616,FALSE,5M 56.616S,5M 57S,"Major","C","uncategorised"
"4967","0ekTN0O7pIE6Vy9jEVUSuI","Grupo Renuente","Soy el Ruso","0",0.618,0.69,2,-7.187,1,0.0604,0.361,0,0.124,0.896,166.754,109587,FALSE,1M 49.587S,1M 50S,"Major","D","corrido"
"4968","0ekTN0O7pIE6Vy9jEVUSuI","Grupo Renuente","Soy el Ruso","0",0.618,0.69,2,-7.187,1,0.0604,0.361,0,0.124,0.896,166.754,109587,FALSE,1M 49.587S,1M 50S,"Major","D"," corridos alternativos"
"4969","0ekTN0O7pIE6Vy9jEVUSuI","Grupo Renuente","Soy el Ruso","0",0.618,0.69,2,-7.187,1,0.0604,0.361,0,0.124,0.896,166.754,109587,FALSE,1M 49.587S,1M 50S,"Major","D"," corridos tumbados"
"4970","0ekTN0O7pIE6Vy9jEVUSuI","Grupo Renuente","Soy el Ruso","0",0.618,0.69,2,-7.187,1,0.0604,0.361,0,0.124,0.896,166.754,109587,FALSE,1M 49.587S,1M 50S,"Major","D"," musica mexicana"
"4971","0ekTN0O7pIE6Vy9jEVUSuI","Grupo Renuente","Soy el Ruso","0",0.618,0.69,2,-7.187,1,0.0604,0.361,0,0.124,0.896,166.754,109587,FALSE,1M 49.587S,1M 50S,"Major","D"," nueva musica mexicana"
"4972","4uiAwAkNkw2qgbz0gaOYUl","Headache Relief Unit","Spanish Kapaa","0",0.259,0.0676,7,-20.156,1,0.0353,0.961,0.0479,0.0875,0.0362,142.611,160926,FALSE,2M 40.926S,2M 41S,"Major","G","binaural"
"4973","7GRZKm9XbET0xSqsMSn0Zf","Sirsy","Spark","0",0.83,0.295,4,-10.606,0,0.0559,0.06,0.000229,0.135,0.461,112.077,216680,FALSE,3M 36.68S,3M 37S,"Minor","E","indie singer-songwriter"
"4974","1esGfUmrpbZGB28KgzpWW0","Cal Tjader","Speak Low - Live","0",0.42,0.446,4,-17.235,0,0.0335,0.608,0.0452,0.707,0.694,148.167,449667,FALSE,7M 29.667S,7M 30S,"Minor","E","bossa nova"
"4975","1esGfUmrpbZGB28KgzpWW0","Cal Tjader","Speak Low - Live","0",0.42,0.446,4,-17.235,0,0.0335,0.608,0.0452,0.707,0.694,148.167,449667,FALSE,7M 29.667S,7M 30S,"Minor","E"," cool jazz"
"4976","1esGfUmrpbZGB28KgzpWW0","Cal Tjader","Speak Low - Live","0",0.42,0.446,4,-17.235,0,0.0335,0.608,0.0452,0.707,0.694,148.167,449667,FALSE,7M 29.667S,7M 30S,"Minor","E"," jazz vibraphone"
"4977","1esGfUmrpbZGB28KgzpWW0","Cal Tjader","Speak Low - Live","0",0.42,0.446,4,-17.235,0,0.0335,0.608,0.0452,0.707,0.694,148.167,449667,FALSE,7M 29.667S,7M 30S,"Minor","E"," latin jazz"
"4978","1esGfUmrpbZGB28KgzpWW0","Cal Tjader","Speak Low - Live","0",0.42,0.446,4,-17.235,0,0.0335,0.608,0.0452,0.707,0.694,148.167,449667,FALSE,7M 29.667S,7M 30S,"Minor","E"," lounge"
"4979","74qAPozUGtG4nn0odsBSsC","Brightside","Speculose","0",0.447,0.639,2,-9.142,1,0.0698,0.0506,0.0234,0.256,0.819,135.901,285139,FALSE,4M 45.139S,4M 45S,"Major","D","pittsburgh indie"
"4980","74qAPozUGtG4nn0odsBSsC","Brightside","Speculose","0",0.447,0.639,2,-9.142,1,0.0698,0.0506,0.0234,0.256,0.819,135.901,285139,FALSE,4M 45.139S,4M 45S,"Major","D"," pittsburgh indie rock"
"4981","67e1vrCXzWS7KGOVBZw1Sm","LMG JMoe","Speed Racer","0",0.555,0.377,2,-17.047,1,0.469,0.151,8.25e-06,0.098,0.484,93.649,123272,TRUE,2M 3.27200000000001S,2M 3S,"Major","D","uncategorised"
"4982","5TbsyCXZtp9fasDWfr8oek","Sonido Del Bosque y Naturaleza","Splish Splash Rains","0",0.376,0.965,1,-28.824,1,0.0368,0.176,0.988,0.798,0.0139,86.741,110669,FALSE,1M 50.669S,1M 51S,"Major","C#/Db","musica de fondo"
"4983","5TbsyCXZtp9fasDWfr8oek","Sonido Del Bosque y Naturaleza","Splish Splash Rains","0",0.376,0.965,1,-28.824,1,0.0368,0.176,0.988,0.798,0.0139,86.741,110669,FALSE,1M 50.669S,1M 51S,"Major","C#/Db"," pianissimo"
"4984","5TbsyCXZtp9fasDWfr8oek","Sonido Del Bosque y Naturaleza","Splish Splash Rains","0",0.376,0.965,1,-28.824,1,0.0368,0.176,0.988,0.798,0.0139,86.741,110669,FALSE,1M 50.669S,1M 51S,"Major","C#/Db"," world meditation"
"4985","7kZm6POHCIImhj0io0g9On","RenzoBeats","Sport!","0",0.771,0.603,1,-7.855,1,0.186,0.293,0,0.417,0.195,130.046,125623,TRUE,2M 5.623S,2M 6S,"Major","C#/Db","drill beats"
"4986","5xpVHESc8uNruZBh4amX4F","Murda One","Spread Your Love","0",0.875,0.661,1,-6.642,1,0.323,0.0657,0,0.327,0.697,83.046,275867,FALSE,4M 35.867S,4M 36S,"Major","C#/Db","uncategorised"
"4987","575jb3IY13Fu47uceA22EL","Adam Ezra Group","Sprig (Live)","0",0.599,0.571,7,-8.041,1,0.038,0.45,0,0.717,0.79,101.731,235415,FALSE,3M 55.415S,3M 55S,"Major","G","uncategorised"
"4988","5f82s36nACeFg8VMjo67wd","John Parr","St. Elmo's Fire (Man In Motion)","0",0.612,0.6,9,-10.945,1,0.0327,0.15,3.04e-06,0.222,0.471,111.203,251800,FALSE,4M 11.8S,4M 12S,"Major","A","uncategorised"
"4989","1qiqD7iFezFjnSf4wjBLAI","Lil Boodha","Stand Onnat","0",0.607,0.401,1,-10.614,1,0.26,0.0725,0.114,0.124,0.308,101.226,130116,TRUE,2M 10.116S,2M 10S,"Major","C#/Db","uncategorised"
"4990","0gUfUD7pcT6G7fBlopslAU","Orrin King","Standards High","0",0.762,0.71,1,-5.951,1,0.246,0.323,0,0.179,0.873,96.763,132480,TRUE,2M 12.48S,2M 12S,"Major","C#/Db","uncategorised"
"4991","08TbTEcR028n6IvQB7NtPf","Shinichi Osawa","Star Guitar - Armand Van Helden Remix","0",0.515,0.853,0,-4.494,1,0.356,0.00163,0.0147,0.0793,0.194,125.97,359013,FALSE,5M 59.013S,5M 59S,"Major","C","uncategorised"
